unit;sector;cofog99;geo;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 
PC_GDP;S13;GF0304;NO;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;PL;0.3 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;PT;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 p
PC_GDP;S13;GF0304;RO;0.2 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;SE;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0304;SI;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0304;SK;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0305;AT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;BE;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;BG;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;CH;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;CY;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;CZ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;DE;0.0 ;0.0 ;0.0 ;0.0 ;0.0 p;0.0 p;0.0 p
PC_GDP;S13;GF0305;DK;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;EA19;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;EA20;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;EE;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;EL;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;ES;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 p
PC_GDP;S13;GF0305;EU27_2020;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;FI;0.0 b;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;FR;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 p;0.0 p
PC_GDP;S13;GF0305;HR;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;HU;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;IE;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;IS;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;IT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;LT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;LU;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;LV;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;MT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;NL;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;NO;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;PL;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;PT;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 p
PC_GDP;S13;GF0305;RO;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;SE;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;SI;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0305;SK;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;AT;0.0 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;BE;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;BG;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0306;CH;0.4 ;0.4 ;0.4 ;0.4 ;0.4 ;0.4 ;0.4 
PC_GDP;S13;GF0306;CY;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;CZ;0.2 ;0.1 ;0.1 ;0.1 ;0.1 ;0.3 ;0.2 
PC_GDP;S13;GF0306;DE;0.1 ;0.1 ;0.1 ;0.1 ;0.1 p;0.1 p;0.1 p
PC_GDP;S13;GF0306;DK;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
PC_GDP;S13;GF0306;EA19;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;EA20;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 
PC_GDP;S13;GF0306;EE;0.0 ;0.2 ;0.2 ;0.1 ;0.1 ;0.1 ;0.2 
PC_GDP;S13;GF0306;EL;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 ;0.0 
