DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2016,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2017,30,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2018,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2019,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2020,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2021,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SI,2022,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2016,36,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2017,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2018,39,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2019,36,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2020,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2021,41,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,SK,2022,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,UK,2016,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,UK,2017,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,UK,2018,13,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,UK,2019,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,UK,2020,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2016,59,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2017,58,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2018,58,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2019,65,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2020,62,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2021,62,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,AT,2022,59,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2016,56,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2017,54,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2018,55,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2019,53,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2020,54,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2021,57,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BE,2022,51,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2016,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2017,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2018,27,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2019,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2020,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2021,29,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,BG,2022,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2016,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2017,49,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2018,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2019,49,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2020,44,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2021,41,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CY,2022,44,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2016,44,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2017,44,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2018,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2019,46,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2020,50,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2021,45,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,CZ,2022,52,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2016,54,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2017,59,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2018,55,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2019,52,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2020,55,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2021,60,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FGOOD,PC,DE,2022,50,
