DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2011,96.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2012,93.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2013,95.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2014,97.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2015,98.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2016,99.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2017,101.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2018,106.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2019,109.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2020,109.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EA20,2021,115.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2000,11.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2001,11.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2002,12.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2003,14.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2004,19.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2005,20.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2006,23.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2007,30.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2008,41.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2009,31.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2010,30.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2011,33.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2012,36.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2013,40.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2014,47.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2015,48.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2016,50.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,EE,2017,55.3,
